,Open,High,Low,Close,Volume,SMA,EMA,RSI,MACD,MACD_Signal,MACD_Hist,Price_Change,High_Low_Spread,Close_Open_Spread,Previous_Close,Open_Close_Diff,VWAP,RSI_Change,MACD_Change,BB_High,BB_Low,BB_Width,Historical_Volatility,Price_Volume,Momentum,Stochastic_Oscillator,Gap
2024-06-07 04:23:00,533.239,533.249,533.238,533.238,77.0,533.3507333333333,533.295705747568,52.380952380961276,0.006540939097476439,0.02218346901059335,-0.01564252991311691,-7.50077820572681e-05,0.0109999999999672,-0.0009999999999763,533.278,-0.0389999999999872,533.292656963665,-2.7140389834559002,-0.00930418800157895,533.5083565940167,533.1270434059832,0.38131318803357317,1.4813699065387202,41059.326,-0.17999999999994998,0.0,-0.03899999999998727
2024-06-07 04:24:00,533.248,533.279,533.248,533.278,497.0,533.3553333333334,533.293492529122,50.0,0.0023676756876511718,0.018220310346004916,-0.015852634658353744,7.501340864668471e-05,0.030999999999949,0.0299999999999727,533.238,0.0099999999999909,533.2921766451274,-2.3809523809612756,-0.0041732634098252674,533.5082366181485,533.1261633818514,0.38207323629717393,1.4813699065387202,265039.166,-0.03999999999996362,17.391304347817492,0.009999999999990905
2024-06-07 04:25:00,533.268,533.299,533.268,533.298,403.0,533.3566666666667,533.2940559629817,40.816326530607036,0.0006664844044053098,0.014709545157684994,-0.014043060753279685,3.750389102874507e-05,0.030999999999949,0.0299999999999727,533.278,-0.0099999999999909,533.2923273813348,-9.183673469392964,-0.001701191283245862,533.5019014781809,533.1453985218192,0.35650295636173723,1.4794082600818843,214919.094,0.049999999999954525,26.086956521726236,-0.009999999999990905
2024-06-07 04:26:00,533.348,533.349,533.308,533.308,2000.0,533.3513333333334,533.295798967609,44.680851063832364,0.0001237677647623059,0.011792389679100457,-0.011668621914338151,1.875124226979885e-05,0.0410000000000536,-0.0399999999999636,533.298,0.0499999999999545,533.294111503216,3.864524533225328,-0.0005427166396430039,533.491985575553,533.170214424447,0.321771151106077,1.3800682591806546,1066616.0,0.029999999999972715,30.43478260868061,0.049999999999954525
2024-06-07 04:27:00,533.368,533.398,533.368,533.398,145.0,533.354,533.3085740966579,52.727272727271604,0.006876639140955376,0.010809239571471441,-0.003932600430516065,0.0001687580160059,0.0299999999999727,0.0299999999999727,533.308,0.0600000000000591,533.2949618945468,8.04642166343924,0.00675287137619307,533.4977719004379,533.1784280995622,0.3193438008756857,1.2660469185605658,77342.71,0.15999999999996817,69.5652173913194,0.06000000000005912
2024-06-07 04:28:00,533.428,533.428,533.428,533.428,26.0,533.358,533.3235023345757,50.0,0.014482146468139945,0.011543820950805143,0.002938325517334802,5.6243180514226054e-05,0.0,0.0,533.398,0.0299999999999727,533.295156877114,-2.727272727271604,0.007605507327184569,533.5026620235071,533.194437976493,0.30822404701416417,1.2739178937420261,13869.128,0.14999999999997726,82.6086956521825,0.029999999999972715
2024-06-07 04:29:00,533.428,533.428,533.418,533.418,114.0,533.3573333333333,533.3353145427537,48.07692307692392,0.019478117776088766,0.013130680315861868,0.0063474374602268974,-1.8746672465597136e-05,0.0099999999999909,-0.0099999999999909,533.428,0.0,533.2959412456594,-1.9230769230760814,0.004995971307948821,533.5011489211688,533.2168510788313,0.2842978423375371,1.2162845061890777,60809.652,0.12000000000000455,78.26086956522815,0.0
2024-06-07 04:31:00,533.348,533.349,533.338,533.338,30.0,533.3506666666667,533.3356502249095,43.10344827585632,0.0167886010769962,0.013862264468088735,0.002926336608907466,-0.0001499761912797,0.0110000000000809,-0.0099999999999909,533.418,-0.07000000000005,533.2960117982557,-4.973474801067596,-0.0026895166990925645,533.4994045122985,533.2245954877014,0.2748090245970616,1.1021070728359263,16000.14,0.029999999999972715,45.45454545452196,-0.07000000000005002
2024-06-07 04:32:00,533.298,533.349,533.298,533.348,42.0,533.346,533.3371939467958,41.07142857142386,0.01528782758248326,0.01414737709096764,0.0011404504915156193,1.8749835938969284e-05,0.0510000000000445,0.0499999999999545,533.338,-0.0399999999999636,533.29613360482,-2.0320197044324644,-0.0015007734945129414,533.4969748344154,533.2230251655844,0.2739496688309373,1.0641052579490025,22400.615999999998,-0.05000000000006821,57.89473684207063,-0.03999999999996362
2024-06-07 04:33:00,533.338,533.368,533.318,533.368,3104.0,533.3406666666666,533.3410447034463,44.64285714286149,0.015533229231209589,0.014424547519016031,0.0011086817121935579,3.7498968778582054e-05,0.0500000000000682,0.0300000000000864,533.348,-0.0099999999999909,533.3067409890634,3.571428571437629,0.00024540164872632886,533.4975170945922,533.2234829054078,0.2740341891844764,1.0600377351749215,1655574.272,-0.05999999999994543,68.42105263159785,-0.009999999999990905
