,Open,High,Low,Close,Volume,SMA,EMA,RSI,MACD,MACD_Signal,MACD_Hist,Price_Change,High_Low_Spread,Close_Open_Spread,Previous_Close,Open_Close_Diff,VWAP,RSI_Change,MACD_Change,BB_High,BB_Low,BB_Width,Historical_Volatility,Price_Volume,Momentum,Stochastic_Oscillator,Gap
2024-07-02 04:20:00,543.58,543.64,543.55,543.55,274.0,543.5433333333334,543.6372518893163,54.13533834586254,-0.0023701325650336003,-0.012518652854270566,0.010148520289236965,-0.000239111241907,0.0900000000000318,-0.0300000000000864,543.68,-0.099999999999909,543.5400587729358,-3.007518796995889,-0.0009464239961971543,543.6886222408083,543.3753777591918,0.31324448161649343,1.2583322295800765,148932.69999999998,-0.12999999999999545,51.72413793101286,-0.09999999999990905
2024-07-02 04:21:00,543.5,543.6,543.48,543.6,246.0,543.554,543.6325954031518,52.71317829457637,0.0009039811994853153,-0.00983412604351939,0.010738107243004705,9.19878576028932e-05,0.1200000000000045,0.1000000000000227,543.55,-0.0499999999999545,543.5410973376532,-1.4221600512861698,0.0032741137645189156,543.6899634460506,543.3750365539495,0.3149268921010844,1.2343581327961575,133725.6,0.14999999999997726,68.9655172413766,-0.049999999999954525
2024-07-02 04:22:00,543.57,543.59,543.46,543.46,178.0,543.5493333333333,543.6110209777578,46.42857142857375,-0.007709222901894464,-0.009409145415194406,0.001699922513299942,-0.0002575423105224,0.1299999999999954,-0.1100000000000136,543.6,-0.0299999999999727,543.5400932109071,-6.284606866002626,-0.008613204101379779,543.6902187802211,543.3687812197788,0.3214375604422912,1.243800627110173,96735.88,-0.07999999999992724,20.689655172428665,-0.029999999999972715
2024-07-02 04:23:00,543.47,543.47,543.38,543.38,706.0,543.5373333333333,543.582143355538,45.454545454544736,-0.020751371723235934,-0.011677590676802713,-0.009073781046433221,-0.0001472049460862,0.0900000000000318,-0.0900000000000318,543.46,0.0099999999999909,543.5325991247846,-0.9740259740290114,-0.01304214882134147,543.6970054445608,543.348994555439,0.3480108891217242,1.3469075692116195,383626.27999999997,-0.2999999999999545,0.0,0.009999999999990905
2024-07-02 04:24:00,543.4,543.4,543.36,543.36,226.0,543.5273333333333,543.5543754360958,46.762589928055846,-0.032328538216006564,-0.015807780184643485,-0.01652075803136308,-3.680665464311783e-05,0.0399999999999636,-0.0399999999999636,543.38,0.0199999999999818,543.5300509537498,1.30804447351111,-0.01157716649277063,543.6984036817781,543.3465963182217,0.35180736355641784,1.459780805463346,122799.36,-0.18999999999994088,0.0,0.01999999999998181
2024-07-02 04:25:00,543.34,543.34,543.25,543.25,790.0,543.5139999999999,543.5163285065838,41.78082191780684,-0.049805480189320406,-0.022607320185578872,-0.027198160003741534,-0.0002024440518256,0.0900000000000318,-0.0900000000000318,543.36,-0.0199999999999818,543.516307615853,-4.981768010249006,-0.017476941973313842,543.724033937299,543.2959660627009,0.4280678745981277,1.65618839508045,429167.5,-0.35000000000002274,0.0,-0.01999999999998181
2024-07-02 04:26:00,543.21,543.23,543.15,543.23,62.0,543.4966666666667,543.4805374432608,37.41007194244304,-0.06452609877021587,-0.03099107590250627,-0.033535022867709596,-3.681546249423295e-05,0.0800000000000409,0.0199999999999818,543.25,-0.0399999999999636,543.5152091584159,-4.3707499753638,-0.014720618580895461,543.7461171121394,543.2528828878607,0.49323422427869446,1.9189997394473548,33680.26,-0.2300000000000182,14.814814814820274,-0.03999999999996362
2024-07-02 04:27:00,543.25,543.29,543.25,543.26,6.0,543.4753333333333,543.4529702628532,36.95652173912775,-0.072930844396069,-0.03937902960121882,-0.033551814794850185,5.5225226883504064e-05,0.0399999999999636,0.0099999999999909,543.23,0.0199999999999818,543.5151144377089,-0.45355020331528806,-0.008404745625853138,543.7542025942806,543.2177974057194,0.5364051885612753,2.08048071368118,3259.56,-0.12000000000000455,20.37037037036998,0.01999999999998181
2024-07-02 04:28:00,543.26,543.26,543.18,543.22,193.0,543.4486666666667,543.4238489799966,36.69064748201192,-0.08187552151730415,-0.04787832798443589,-0.03399719353286826,-7.362956963508083e-05,0.0800000000000409,-0.0399999999999636,543.26,0.0,543.5116327403878,-0.2658742571158328,-0.008944677121235145,543.7596182158234,543.1783817841767,0.5812364316466301,2.2702951349989906,104841.46,-0.13999999999998636,12.96296296297037,0.0
2024-07-02 04:29:00,543.25,543.25,543.16,543.16,108.0,543.42,543.390867857497,38.059701492533705,-0.09273672984272707,-0.05685000835609413,-0.035886721486632946,-0.0001104524870219,0.0900000000000318,-0.0900000000000318,543.22,0.0299999999999727,543.5093265318517,1.3690540105217863,-0.010861208325422922,543.7723065493489,543.1306934506512,0.6416130986976896,2.490108431374451,58661.28,-0.09000000000003183,1.8518518518499025,0.029999999999972715
