,Open,High,Low,Close,Volume,Previous_Close,True_Range,RSI,MACD,MACD_Signal,MACD_Hist,BB_High,BB_Low,BB_Width,Historical_Volatility,Price_Volume,Momentum,Stochastic_Oscillator,Gap,Volume_Change,EMA_50,EMA_200,ATR,MFI,CCI
2024-06-11 04:00:00,534.195,534.196,533.467,533.528,1053.0,533.936,0.7290000000000418,58.02469135802805,0.05654682727129057,0.029541225713109603,0.027005601558180964,533.6962909493226,533.1733090506774,0.5229818986451846,0.005466358177826547,561804.984,0.09000000000003183,22.595596755508378,0.25900000000001455,-0.999227172412477,533.4463136790031,533.5268791098115,0.13999999999997012,99.75122249570647,132.27304581552332
2024-06-11 04:01:00,533.528,533.668,533.527,533.667,1109.0,533.528,0.1409999999999627,59.49166004765977,0.06527109708224543,0.03668719998693677,0.02858389709530866,533.728216997939,533.1737830020611,0.5544339958778437,0.00552166098862264,591836.703,0.21900000000005093,35.3300733496324,0.0,0.05318138651471993,533.4549680445324,533.5282733475249,0.1432857142856798,99.67018742278313,73.76562040922205
2024-06-11 04:02:00,533.667,533.668,533.627,533.647,69.0,533.667,0.04100000000005366,57.22356739306358,0.06976707944602367,0.04330317587875415,0.02646390356726952,533.7512481011028,533.1821518988971,0.5690962022056283,0.0055253024383287806,36821.643000000004,0.20400000000006457,32.88508557457345,0.0,-0.9377817853922452,533.4624987094527,533.529454707251,0.1412142857142596,99.67020164649212,77.19291611903967
2024-06-11 04:03:00,533.667,533.668,533.557,533.557,375.0,533.647,0.11099999999999,55.433932759969615,0.06531501913900684,0.047705544530804694,0.01760947460820214,533.7575819628127,533.1987180371874,0.5588639256252463,0.005565245507737849,200083.875,0.13900000000001,21.88264058679428,0.01999999999998181,4.434782608695652,533.4662046424154,533.529728789766,0.14485714285711992,99.64362083318267,48.41211886269926
2024-06-11 04:04:00,533.587,533.628,533.587,533.617,744.0,533.557,0.07100000000002638,56.78544351781632,0.06586893178575792,0.05133822198179534,0.01453070980396258,533.7692144205045,533.2159855794956,0.5532288410088313,0.005579242944333176,397011.04799999995,0.19399999999995998,29.21760391197113,0.029999999999972715,0.984,533.4721181858501,533.530597160017,0.14707142857141012,99.64381160132693,50.30067090033376
2024-06-11 04:05:00,533.687,533.687,533.617,533.627,308.0,533.617,0.07000000000005002,56.78544351781632,0.06634998663116676,0.05434057491166963,0.012009411719497126,533.7794138321202,533.2351861678798,0.5442276642404522,0.005579243058407752,164357.11599999998,0.19899999999995543,30.440097799500602,0.07000000000005002,-0.586021505376344,533.4781919824835,533.5315563922557,0.14707142857141825,99.643891704022,59.04071751900356
2024-06-11 04:06:00,533.607,533.608,533.547,533.547,4034.0,533.627,0.07999999999992724,53.73027259684571,0.059588989867506825,0.055390257902837074,0.004198731964669751,533.7778072174956,533.2581927825042,0.5196144349913538,0.005627185861479945,2152328.598,0.09900000000004638,20.660146699264807,-0.01999999999998181,12.097402597402597,533.4808903361117,533.5317100599945,0.14635714285712506,99.35124014295596,19.530663023899763
2024-06-11 04:07:00,533.667,533.668,533.667,533.667,78.0,533.547,0.1209999999999809,58.361316319679524,0.06318548539604762,0.05694930340147919,0.006236181994568435,533.7942739454868,533.2656260545132,0.5286478909736161,0.005688060288021095,41626.026000000005,0.21900000000005093,34.52970297029689,0.12000000000000455,-0.9806643529995042,533.4881887543033,533.5330562285518,0.14857142857141525,99.36617330056858,60.891391351238255
2024-06-11 04:08:00,533.617,533.618,533.617,533.617,3.0,533.667,0.05000000000006821,56.32333767926909,0.061294586047779376,0.05781835993073923,0.0034762261170401473,533.8027691782958,533.2720308217041,0.5307383565916552,0.005713230039937048,1600.8509999999999,0.19099999999991724,28.34158415840721,-0.05000000000006821,-0.9615384615384616,533.4932401757032,533.5338914899593,0.14928571428570844,99.36591563810603,33.05915462677235
2024-06-11 04:09:00,533.528,533.528,533.457,533.518,1600.0,533.617,0.15999999999996817,52.76412776412905,0.05121716250096142,0.056498120444783674,-0.005280957943822252,533.802002450621,533.2827975493791,0.519204901241892,0.005783623813325469,853628.8,-0.41800000000000637,12.853470437020587,-0.08899999999994179,532.3333333333334,533.4942111492051,533.5337333656811,0.15499999999999708,99.29261307967477,-25.003393504469074
